Episodes,Animation,Compositing,Layout,Rendering
0,0.0,0.0,0.0,0.0
20,100.0,0.0,,0.0
30,100.0,100.0,,100.0
40,100.0,100.0,,100.0
50,100.0,100.0,100.0,100.0
60,75.0715512307,61.4195764167,100.0,60.8139534884
70,100.0,84.0217576067,100.0,84.0217576067
80,47.9678238781,18.9246401355,100.0,33.6155800169
90,48.0946123522,23.5873850197,100.0,23.5873850197
100,30.2694136292,30.2694136292,89.8461538462,30.2694136292
110,51.199563795,46.346782988,100.0,46.346782988
120,60.4677060134,60.4677060134,100.0,60.4677060134
140,83.042394015,80.1330008313,68.137254902,82.3376623377
150,91.7617237009,91.7617237009,100.0,91.7617237009
160,35.2134146341,13.4146341463,89.4825646794,13.4146341463
170,18.2159624413,15.9624413146,100.0,15.9624413146
180,57.7551701134,17.3092698934,93.949661181,20.4757998359
190,1.98380566802,0.0,100.0,0.0
200,0.0,0.0,100.0,0.0
210,0.0,0.0,,0.0
220,90.6315789474,55.6435643564,100.0,55.6435643564
221,78.4829721362,0.0,100.0,0.0
222,0.858573813499,0.0,97.9587048334,0.0
